Filter, ID, Time_ms, Average_time, Memory_used_MiB, Memory_free_MiB
0, 16, 1998, 0, 2, 26333
0, 17, 1359, 0, 2, 26333
0, 18, 1417, 0, 2, 26333
0, 19, 1221, 0, 22, 26313
0, 20, 989, 0, 2, 26313
0, 21, 1068, 0, 2, 26313
0, 22, 1006, 0, 2, 26313
0, 23, 943, 0, 2, 26313
0, 24, 947, 0, 2, 26313
0, 25, 1279, 0, 18, 26297
0, 26, 990, 0, 2, 26297
0, 27, 960, 0, 2, 26297
0, 28, 991, 0, 2, 26297
0, 29, 1072, 0, 22, 26277
0, 30, 1040, 0, 2, 26277
0, 0, 0, 1220
7, 1, 1136, 0, 2, 26277
0, 2, 1064, 0, 2, 26277
0, 3, 1076, 0, 18, 26261
0, 4, 987, 0, 2, 26261
0, 5, 979, 0, 2, 26261
0, 6, 1016, 0, 2, 26261
0, 7, 1037, 0, 18, 26245
0, 8, 1059, 0, 2, 26245
0, 9, 958, 0, 2, 26245
0, 10, 1003, 0, 2, 26245
0, 11, 1649, 0, 2, 26245
0, 12, 981, 0, 2, 26245
0, 13, 1284, 0, 22, 26225
0, 14, 1044, 0, 2, 26225
0, 15, 1025, 0, 2, 26225
0, 16, 1713, 0, 18, 26209
0, 17, 978, 0, 2, 26209
0, 18, 994, 0, 2, 26209
0, 19, 1003, 0, 2, 26209
0, 20, 1264, 0, 18, 26193
0, 21, 984, 0, 2, 26193
0, 22, 983, 0, 2, 26193
0, 23, 1005, 0, 2, 26193
0, 24, 1837, 0, 2, 26193
0, 25, 1370, 0, 2, 26193
0, 26, 1241, 0, 22, 26173
0, 27, 989, 0, 2, 26173
0, 28, 1135, 0, 2, 26173
0, 29, 1911, 0, 18, 26157
0, 30, 1013, 0, 2, 26157
0, 0, 0, 1157
8, 1, 947, 0, 2, 26157
0, 2, 1280, 0, 18, 26141
0, 3, 951, 0, 2, 26141
0, 4, 1005, 0, 2, 26141
0, 5, 1148, 0, 2, 26141
0, 6, 1272, 0, 2, 26141
0, 7, 1549, 0, 2, 26141
0, 8, 1428, 0, 22, 26121
0, 9, 1137, 0, 2, 26121
0, 10, 1466, 0, 2, 26119
0, 11, 1129, 0, 2, 26119
0, 12, 1166, 0, 2, 26119
0, 13, 1585, 0, 18, 26103
0, 14, 1006, 0, 2, 26103
0, 15, 978, 0, 2, 26103
0, 16, 935, 0, 2, 26103
0, 17, 991, 0, 2, 26103
0, 18, 1236, 0, 22, 26083
0, 19, 1050, 0, 2, 26083
0, 20, 1035, 0, 2, 26083
0, 21, 1121, 0, 2, 26083
0, 22, 1822, 0, 18, 26067
0, 23, 940, 0, 2, 26067
0, 24, 911, 0, 2, 26067
0, 25, 915, 0, 2, 26067
0, 26, 899, 0, 2, 26067
0, 27, 1044, 0, 18, 26051
0, 28, 937, 0, 2, 26051
0, 29, 947, 0, 2, 26051
0, 30, 968, 0, 2, 26051
0, 0, 0, 1127
9, 1, 1466, 0, 22, 26031
0, 2, 951, 0, 2, 26031
0, 3, 1084, 0, 2, 26031
0, 4, 1041, 0, 2, 26031
0, 5, 1022, 0, 18, 26015
0, 6, 1011, 0, 2, 26015
0, 7, 921, 0, 2, 26015
0, 8, 958, 0, 2, 26015
0, 9, 1222, 0, 18, 25999
0, 10, 947, 0, 2, 25999
0, 11, 944, 0, 2, 25999
0, 12, 963, 0, 2, 25999
0, 13, 900, 0, 2, 25999
0, 14, 1127, 0, 2, 25999
0, 15, 1065, 0, 2, 25999
0, 16, 1039, 0, 22, 25979
0, 17, 1232, 0, 2, 25979
0, 18, 1830, 0, 18, 25963
0, 19, 948, 0, 2, 25963
0, 20, 930, 0, 2, 25963
0, 21, 963, 0, 2, 25963
0, 22, 941, 0, 2, 25963
0, 23, 1236, 0, 18, 25947
0, 24, 957, 0, 2, 25947
0, 25, 954, 0, 2, 25947
0, 26, 964, 0, 2, 25947
0, 27, 1105, 0, 2, 25947
0, 28, 1039, 0, 2, 25947
0, 29, 1042, 0, 2, 25947
0, 30, 1100, 0, 22, 25927
0, 0, 0, 1063
10, 1, 1086, 0, 2, 25927
0, 2, 966, 0, 2, 25927
0, 3, 970, 0, 2, 25927
0, 4, 991, 0, 2, 25927
0, 5, 1038, 0, 18, 25911
0, 6, 993, 0, 2, 25911
0, 7, 917, 0, 2, 25911
0, 8, 970, 0, 2, 25911
0, 9, 1037, 0, 22, 25891
0, 10, 960, 0, 2, 25891
0, 11, 1130, 0, 2, 25891
0, 12, 1066, 0, 2, 25891
0, 13, 1037, 0, 2, 25891
0, 14, 1030, 0, 18, 25875
0, 15, 961, 0, 2, 25875
0, 16, 941, 0, 2, 25875
0, 17, 912, 0, 2, 25875
0, 18, 908, 0, 2, 25875
0, 19, 1236, 0, 18, 25859
0, 20, 950, 0, 2, 25859
0, 21, 947, 0, 2, 25859
0, 22, 980, 0, 2, 25859
0, 23, 1103, 0, 2, 25859
0, 24, 1052, 0, 22, 25839
0, 25, 1238, 0, 2, 25839
0, 26, 1228, 0, 2, 25839
0, 27, 1806, 0, 18, 25823
0, 28, 938, 0, 2, 25823
0, 29, 913, 0, 2, 25823
0, 30, 966, 0, 2, 25823
0, 0, 0, 1042
11, 1, 1079, 0, 18, 25807
0, 2, 963, 0, 2, 25807
0, 3, 991, 0, 2, 25807
0, 4, 992, 0, 2, 25807
0, 5, 1034, 0, 2, 25807
0, 6, 1226, 0, 2, 25807
0, 7, 1230, 0, 22, 25787
0, 8, 952, 0, 2, 25787
0, 9, 1047, 0, 2, 25787
0, 10, 1051, 0, 18, 25771
0, 11, 978, 0, 2, 25771
0, 12, 923, 0, 2, 25771
0, 13, 971, 0, 2, 25771
0, 14, 1035, 0, 18, 25755
0, 15, 994, 0, 2, 25755
0, 16, 921, 0, 2, 25755
0, 17, 973, 0, 2, 25755
