Filter, ID, Time_us, Average_time, Memory_used_MiB, Memory_free_MiB
0, 46, 68790, 0, 110, 32340
0, 47, 71228, 0, 110, 32340
0, 48, 57081, 0, 110, 32340
0, 49, 68822, 0, 110, 32340
0, 50, 71161, 0, 110, 32340
0, 51, 57160, 0, 110, 32340
0, 52, 68889, 0, 110, 32340
0, 53, 71516, 0, 110, 32340
0, 54, 57509, 0, 110, 32340
0, 55, 68702, 0, 110, 32340
0, 56, 71239, 0, 110, 32340
0, 57, 62653, 0, 110, 32340
0, 58, 71588, 0, 110, 32340
0, 59, 71477, 0, 110, 32340
0, 60, 51964, 0, 110, 32340
0, 0, 0, 66448
2000, 1, 89996, 0, 134, 32316
0, 2, 87170, 0, 134, 32316
0, 3, 88962, 0, 134, 32316
0, 4, 92320, 0, 134, 32316
0, 5, 59579, 0, 134, 32316
0, 6, 91219, 0, 134, 32316
0, 7, 83595, 0, 134, 32316
0, 8, 88547, 0, 134, 32316
0, 9, 95346, 0, 134, 32316
0, 10, 87364, 0, 134, 32316
0, 11, 97162, 0, 134, 32316
0, 12, 67782, 0, 134, 32316
0, 13, 94530, 0, 134, 32316
0, 14, 69140, 0, 134, 32316
0, 15, 91392, 0, 134, 32316
0, 16, 92438, 0, 134, 32316
0, 17, 88376, 0, 134, 32316
0, 18, 92044, 0, 134, 32316
0, 19, 55961, 0, 134, 32316
0, 20, 92567, 0, 134, 32316
0, 21, 92194, 0, 134, 32316
0, 22, 89211, 0, 134, 32316
0, 23, 92115, 0, 134, 32316
0, 24, 66275, 0, 134, 32316
0, 25, 91958, 0, 134, 32316
0, 26, 74016, 0, 134, 32316
0, 27, 91015, 0, 134, 32316
0, 28, 92373, 0, 134, 32316
0, 29, 88043, 0, 134, 32316
0, 30, 91974, 0, 134, 32316
0, 31, 55838, 0, 134, 32316
0, 32, 92287, 0, 134, 32316
0, 33, 92045, 0, 134, 32316
0, 34, 89016, 0, 134, 32316
0, 35, 92207, 0, 134, 32316
0, 36, 68537, 0, 134, 32316
0, 37, 92403, 0, 134, 32316
0, 38, 71643, 0, 134, 32316
0, 39, 92008, 0, 134, 32316
0, 40, 91469, 0, 134, 32316
0, 41, 88203, 0, 134, 32316
0, 42, 92367, 0, 134, 32316
0, 43, 55886, 0, 134, 32316
0, 44, 92464, 0, 134, 32316
0, 45, 92133, 0, 134, 32316
0, 46, 89019, 0, 134, 32316
0, 47, 91924, 0, 134, 32316
0, 48, 58872, 0, 134, 32316
0, 49, 91550, 0, 134, 32316
0, 50, 81289, 0, 134, 32316
0, 51, 90469, 0, 134, 32316
0, 52, 92512, 0, 134, 32316
0, 53, 88048, 0, 134, 32316
0, 54, 92053, 0, 134, 32316
0, 55, 55853, 0, 134, 32316
0, 56, 92335, 0, 134, 32316
0, 57, 92258, 0, 134, 32316
0, 58, 110386, 0, 134, 32316
0, 59, 77286, 0, 134, 32316
0, 60, 90616, 0, 134, 32316
0, 0, 0, 85461
2500, 1, 94239, 0, 152, 32298
0, 2, 110742, 0, 152, 32298
0, 3, 99016, 0, 152, 32298
0, 4, 110918, 0, 152, 32298
0, 5, 99401, 0, 152, 32298
0, 6, 111448, 0, 152, 32298
0, 7, 99198, 0, 152, 32298
0, 8, 110857, 0, 152, 32298
0, 9, 98564, 0, 152, 32298
0, 10, 111073, 0, 152, 32298
0, 11, 99046, 0, 152, 32298
0, 12, 110876, 0, 152, 32298
0, 13, 99308, 0, 152, 32298
0, 14, 110799, 0, 152, 32298
0, 15, 99227, 0, 152, 32298
0, 16, 110890, 0, 152, 32298
0, 17, 99182, 0, 152, 32298
0, 18, 110864, 0, 152, 32298
0, 19, 99161, 0, 152, 32298
0, 20, 110982, 0, 152, 32298
0, 21, 98988, 0, 152, 32298
0, 22, 110893, 0, 152, 32298
0, 23, 98995, 0, 152, 32298
0, 24, 111059, 0, 152, 32298
0, 25, 99359, 0, 152, 32298
0, 26, 110830, 0, 152, 32298
0, 27, 99252, 0, 152, 32298
0, 28, 110968, 0, 152, 32298
0, 29, 99177, 0, 152, 32298
0, 30, 111852, 0, 152, 32298
0, 31, 101789, 0, 152, 32298
0, 32, 110890, 0, 152, 32298
0, 33, 99171, 0, 152, 32298
0, 34, 110879, 0, 152, 32298
0, 35, 99246, 0, 152, 32298
0, 36, 110995, 0, 152, 32298
0, 37, 99303, 0, 152, 32298
0, 38, 110835, 0, 152, 32298
0, 39, 98848, 0, 152, 32298
0, 40, 111015, 0, 152, 32298
0, 41, 99287, 0, 152, 32298
0, 42, 110943, 0, 152, 32298
0, 43, 98473, 0, 152, 32298
0, 44, 111099, 0, 152, 32298
0, 45, 99045, 0, 152, 32298
0, 46, 110849, 0, 152, 32298
0, 47, 101120, 0, 152, 32298
0, 48, 109638, 0, 152, 32298
0, 49, 99012, 0, 152, 32298
0, 50, 111061, 0, 152, 32298
0, 51, 99095, 0, 152, 32298
0, 52, 110858, 0, 152, 32298
0, 53, 98870, 0, 152, 32298
0, 54, 111247, 0, 152, 32298
0, 55, 99105, 0, 152, 32298
0, 56, 111163, 0, 152, 32298
0, 57, 99288, 0, 152, 32298
0, 58, 110950, 0, 152, 32298
0, 59, 98949, 0, 152, 32298
0, 60, 111499, 0, 152, 32298
0, 0, 0, 105028
3000, 1, 94757, 0, 176, 32274
0, 2, 131482, 0, 176, 32274
0, 3, 98356, 0, 176, 32274
0, 4, 131518, 0, 176, 32274
0, 5, 97924, 0, 176, 32274
0, 6, 131555, 0, 176, 32274
0, 7, 98136, 0, 176, 32274
0, 8, 131304, 0, 176, 32274
0, 9, 97192, 0, 176, 32274
0, 10, 129539, 0, 176, 32274
0, 11, 103106, 0, 176, 32274
0, 12, 131923, 0, 176, 32274
0, 13, 98177, 0, 176, 32274
0, 14, 132329, 0, 176, 32274
0, 15, 97961, 0, 176, 32274
0, 16, 133152, 0, 176, 32274
0, 17, 95377, 0, 176, 32274
0, 18, 133113, 0, 176, 32274
0, 19, 95047, 0, 176, 32274
0, 20, 132455, 0, 176, 32274
0, 21, 94857, 0, 176, 32274
0, 22, 132700, 0, 176, 32274
0, 23, 95098, 0, 176, 32274
0, 24, 132646, 0, 176, 32274
0, 25, 95349, 0, 176, 32274
0, 26, 132766, 0, 176, 32274
0, 27, 95237, 0, 176, 32274
0, 28, 132857, 0, 176, 32274
0, 29, 94908, 0, 176, 32274
0, 30, 133430, 0, 176, 32274
0, 31, 96139, 0, 176, 32274
0, 32, 133068, 0, 176, 32274
0, 33, 96114, 0, 176, 32274
0, 34, 132870, 0, 176, 32274
0, 35, 95953, 0, 176, 32274
0, 36, 132978, 0, 176, 32274
0, 37, 95971, 0, 176, 32274
0, 38, 132998, 0, 176, 32274
0, 39, 96105, 0, 176, 32274
0, 40, 132624, 0, 176, 32274
0, 41, 95127, 0, 176, 32274
0, 42, 133180, 0, 176, 32274
0, 43, 96059, 0, 176, 32274
0, 44, 133515, 0, 176, 32274
0, 45, 95850, 0, 176, 32274
0, 46, 133108, 0, 176, 32274
0, 47, 95852, 0, 176, 32274
0, 48, 133147, 0, 176, 32274
0, 49, 96269, 0, 176, 32274
0, 50, 81094, 0, 176, 32274
0, 51, 79533, 0, 176, 32274
0, 52, 79186, 0, 176, 32274
0, 53, 78796, 0, 176, 32274
0, 54, 78796, 0, 176, 32274
0, 55, 78738, 0, 176, 32274
0, 56, 78797, 0, 176, 32274
0, 57, 78796, 0, 176, 32274
0, 58, 82565, 0, 176, 32274
0, 59, 86068, 0, 176, 32274
0, 60, 78806, 0, 176, 32274
0, 0, 0, 107873
3500, 1, 92591, 0, 198, 32252
0, 2, 90247, 0, 198, 32252
0, 3, 99801, 0, 198, 32252
0, 4, 90165, 0, 198, 32252
0, 5, 96089, 0, 198, 32252
0, 6, 94623, 0, 198, 32252
0, 7, 90238, 0, 198, 32252
0, 8, 99621, 0, 198, 32252
0, 9, 90333, 0, 198, 32252
0, 10, 90662, 0, 198, 32252
0, 11, 99861, 0, 198, 32252
0, 12, 90321, 0, 198, 32252
0, 13, 90374, 0, 198, 32252
0, 14, 99515, 0, 198, 32252
0, 15, 90381, 0, 198, 32252
0, 16, 90282, 0, 198, 32252
0, 17, 99318, 0, 198, 32252
0, 18, 90237, 0, 198, 32252
0, 19, 96085, 0, 198, 32252
0, 20, 94192, 0, 198, 32252
0, 21, 90315, 0, 198, 32252
0, 22, 99539, 0, 198, 32252
0, 23, 90233, 0, 198, 32252
0, 24, 99389, 0, 198, 32252
0, 25, 90417, 0, 198, 32252
0, 26, 98558, 0, 198, 32252
0, 27, 92014, 0, 198, 32252
0, 28, 96206, 0, 198, 32252
0, 29, 93982, 0, 198, 32252
0, 30, 92511, 0, 198, 32252
0, 31, 98405, 0, 198, 32252
0, 32, 90303, 0, 198, 32252
0, 33, 99546, 0, 198, 32252
0, 34, 90204, 0, 198, 32252
0, 35, 84361, 0, 198, 32252
0, 36, 152908, 0, 198, 32252
0, 37, 148875, 0, 198, 32252
0, 38, 108471, 0, 198, 32252
0, 39, 151750, 0, 198, 32252
0, 40, 96214, 0, 198, 32252
0, 41, 151485, 0, 198, 32252
0, 42, 97013, 0, 198, 32252
0, 43, 151654, 0, 198, 32252
0, 44, 96790, 0, 198, 32252
0, 45, 151087, 0, 198, 32252
0, 46, 96216, 0, 198, 32252
0, 47, 153301, 0, 198, 32252
0, 48, 94552, 0, 198, 32252
0, 49, 153041, 0, 198, 32252
0, 50, 93857, 0, 198, 32252
0, 51, 152808, 0, 198, 32252
0, 52, 93926, 0, 198, 32252
0, 53, 152885, 0, 198, 32252
0, 54, 94172, 0, 198, 32252
0, 55, 153856, 0, 198, 32252
0, 56, 94994, 0, 198, 32252
0, 57, 153365, 0, 198, 32252
0, 58, 94399, 0, 198, 32252
0, 59, 151302, 0, 198, 32252
0, 60, 96499, 0, 198, 32252
0, 0, 0, 106939
4000, 1, 163522, 0, 222, 32228
0, 2, 171723, 0, 222, 32228
0, 3, 101131, 0, 222, 32228
0, 4, 186294, 0, 222, 32228
0, 5, 175727, 0, 222, 32228
0, 6, 101142, 0, 222, 32228
0, 7, 171762, 0, 222, 32228
0, 8, 135335, 0, 222, 32228
0, 9, 142541, 0, 222, 32228
0, 10, 171786, 0, 222, 32228
0, 11, 101272, 0, 222, 32228
0, 12, 172738, 0, 222, 32228
0, 13, 101202, 0, 222, 32228
0, 14, 172173, 0, 222, 32228
0, 15, 133124, 0, 222, 32228
0, 16, 144791, 0, 222, 32228
0, 17, 172153, 0, 222, 32228
0, 18, 101107, 0, 222, 32228
0, 19, 171397, 0, 222, 32228
0, 20, 137498, 0, 222, 32228
0, 21, 140437, 0, 222, 32228
0, 22, 172886, 0, 222, 32228
0, 23, 109148, 0, 222, 32228
0, 24, 168612, 0, 222, 32228
0, 25, 173088, 0, 222, 32228
0, 26, 101226, 0, 222, 32228
0, 27, 172253, 0, 222, 32228
0, 28, 167851, 0, 222, 32228
0, 29, 109248, 0, 222, 32228
0, 30, 172588, 0, 222, 32228
0, 31, 139913, 0, 222, 32228
0, 32, 138277, 0, 222, 32228
0, 33, 172127, 0, 222, 32228
0, 34, 115829, 0, 222, 32228
0, 35, 162196, 0, 222, 32228
0, 36, 172175, 0, 222, 32228
0, 37, 101140, 0, 222, 32228
0, 38, 172566, 0, 222, 32228
0, 39, 157659, 0, 222, 32228
0, 40, 121080, 0, 222, 32228
0, 41, 172323, 0, 222, 32228
0, 42, 105773, 0, 222, 32228
0, 43, 171857, 0, 222, 32228
0, 44, 170430, 0, 222, 32228
0, 45, 105802, 0, 222, 32228
0, 46, 172355, 0, 222, 32228
0, 47, 135543, 0, 222, 32228
0, 48, 142337, 0, 222, 32228
0, 49, 173077, 0, 222, 32228
0, 50, 109343, 0, 222, 32228
0, 51, 168143, 0, 222, 32228
0, 52, 172895, 0, 222, 32228
0, 53, 101156, 0, 222, 32228
0, 54, 172245, 0, 222, 32228
0, 55, 165458, 0, 222, 32228
0, 56, 111766, 0, 222, 32228
0, 57, 173080, 0, 222, 32228
0, 58, 139863, 0, 222, 32228
0, 59, 138248, 0, 222, 32228
0, 60, 172774, 0, 222, 32228
0, 0, 0, 147386
4500, 1, 185477, 0, 244, 32206
0, 2, 131696, 0, 244, 32206
0, 3, 167594, 0, 244, 32206
0, 4, 192606, 0, 244, 32206
0, 5, 189927, 0, 244, 32206
0, 6, 138141, 0, 244, 32206
0, 7, 161149, 0, 244, 32206
0, 8, 191821, 0, 244, 32206
0, 9, 190809, 0, 244, 32206
0, 10, 131614, 0, 244, 32206
0, 11, 167860, 0, 244, 32206
0, 12, 192367, 0, 244, 32206
0, 13, 188352, 0, 244, 32206
0, 14, 112544, 0, 244, 32206
0, 15, 192188, 0, 244, 32206
0, 16, 190939, 0, 244, 32206
0, 17, 165930, 0, 244, 32206
0, 18, 132555, 0, 244, 32206
0, 19, 191991, 0, 244, 32206
0, 20, 188906, 0, 244, 32206
0, 21, 131485, 0, 244, 32206
0, 22, 166913, 0, 244, 32206
0, 23, 192658, 0, 244, 32206
0, 24, 190953, 0, 244, 32206
0, 25, 133532, 0, 244, 32206
0, 26, 165768, 0, 244, 32206
0, 27, 192009, 0, 244, 32206
0, 28, 189878, 0, 244, 32206
0, 29, 135883, 0, 244, 32206
0, 30, 163276, 0, 244, 32206
0, 31, 191752, 0, 244, 32206
0, 32, 189887, 0, 244, 32206
0, 33, 133802, 0, 244, 32206
