Filter, ID, Time_us, Average_time, Memory_used_MiB, Memory_free_MiB
0, 46, 3437, 0, 14, 39896
0, 47, 3435, 0, 14, 39896
0, 48, 3430, 0, 14, 39896
0, 49, 3438, 0, 14, 39896
0, 50, 3432, 0, 14, 39896
0, 51, 3433, 0, 14, 39896
0, 52, 3436, 0, 14, 39896
0, 53, 3256, 0, 14, 39896
0, 54, 3249, 0, 14, 39896
0, 55, 3248, 0, 14, 39896
0, 56, 3239, 0, 14, 39896
0, 57, 3243, 0, 14, 39896
0, 58, 3246, 0, 14, 39896
0, 59, 3249, 0, 14, 39896
0, 60, 3235, 0, 14, 39896
0, 0, 0, 3406
4, 1, 3090, 0, 14, 39896
0, 2, 3250, 0, 14, 39896
0, 3, 3245, 0, 14, 39896
0, 4, 3229, 0, 14, 39896
0, 5, 3239, 0, 14, 39896
0, 6, 3243, 0, 14, 39896
0, 7, 3260, 0, 14, 39896
0, 8, 3233, 0, 14, 39896
0, 9, 3236, 0, 14, 39896
0, 10, 3241, 0, 14, 39896
0, 11, 3230, 0, 14, 39896
0, 12, 3230, 0, 14, 39896
0, 13, 3238, 0, 14, 39896
0, 14, 3240, 0, 14, 39896
0, 15, 3238, 0, 14, 39896
0, 16, 3242, 0, 14, 39896
0, 17, 3232, 0, 14, 39896
0, 18, 3242, 0, 14, 39896
0, 19, 3236, 0, 14, 39896
0, 20, 3244, 0, 14, 39896
0, 21, 3235, 0, 14, 39896
0, 22, 3241, 0, 14, 39896
0, 23, 3245, 0, 14, 39896
0, 24, 3246, 0, 14, 39896
0, 25, 3236, 0, 14, 39896
0, 26, 3238, 0, 14, 39896
0, 27, 3242, 0, 14, 39896
0, 28, 3238, 0, 14, 39896
0, 29, 3241, 0, 14, 39896
0, 30, 3234, 0, 14, 39896
0, 31, 3245, 0, 14, 39896
0, 32, 3245, 0, 14, 39896
0, 33, 3240, 0, 14, 39896
0, 34, 3236, 0, 14, 39896
0, 35, 3240, 0, 14, 39896
0, 36, 3246, 0, 14, 39896
0, 37, 3226, 0, 14, 39896
0, 38, 3241, 0, 14, 39896
0, 39, 3244, 0, 14, 39896
